comparison	kegg_pathway	ko_id	significant_compounds	pathway_compounds	significant_compounds_total	compounds_total	metabolite_index_list	kegg_compound_list	kegg_url
KP_vs_Con	Biosynthesis of cofactors	ko01240	16	36	185	562	MEDP0026*110;MEDN1909*186;MEDN0009;MEDN0018;MEDN0019;MEDN0046;MEDN0068;MEDN0237;MEDN0622;MEDN0704;MEDN1532;MEDP0020;MEDP0143;MEDP0242;MEDP1280;MEDP1949	C00183+C00156+C00049+C00065+C00078+C00064+C00021+C00191+C00931+C00036+C00333+C00073+C00120+C00153+C00019+C03373	https:\\www.genome.jp\dbget-bin\www_bget?map01240
KP_vs_Con	ABC transporters	ko02010	42	139	185	562	MEDP0026*110;MEDP0227*128;MEDP2546*135;MEDP2355*135;MEDP2434*138;MEDP2433*138;MEDP1022*153;MEDP2584*153;MEDN1548*199;MEDP2339*243;MEDP2431*245;MEDP0859*245;MEDP2585*251;MEDN0009;MEDN0012;MEDN0018;MEDN0046;MEDN0280;MEDN1532;MEDN1910;MEDN1969;MEDP0011;MEDP0078;MEDP0143;MEDP0752;MEDP1144;MEDP1512;MEDP1742;MEDP1780;MEDP1863;MEDP1911;MEDP2327;MEDP2328;MEDP2378;MEDP2383;MEDP2411;MEDP2426;MEDP2470;MEDP2494;MEDP2555;MEDP2556;MEDP2805	C00183+C00159+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00049+C00135+C00065+C00064+C00245+C00333+C00107+C00107+C00047+C00107+C00120+C00123+C00407+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00107+C00098+C00107+C00107+C00107+C00107+C00107+C00107	https:\\www.genome.jp\dbget-bin\www_bget?map02010
KP_vs_Con	Protein digestion and absorption	ko04974	13	19	185	562	MEDP0026*110;MEDN0009;MEDN0012;MEDN0018;MEDN0019;MEDN0042;MEDN0046;MEDP0011;MEDP0020;MEDP0453;MEDP0456;MEDP0752;MEDP1144	C00183+C00049+C00135+C00065+C00078+C00152+C00064+C00047+C00073+C00463+C01746+C00123+C00407	https:\\www.genome.jp\dbget-bin\www_bget?map04974
KP_vs_Con	Mineral absorption	ko04978	8	9	185	562	MEDP0026*110;MEDN0018;MEDN0019;MEDN0042;MEDN0046;MEDP0020;MEDP0752;MEDP1144	C00183+C00065+C00078+C00152+C00064+C00073+C00123+C00407	https:\\www.genome.jp\dbget-bin\www_bget?map04978
KP_vs_Con	Central carbon metabolism in cancer	ko05230	11	20	185	562	MEDP0026*110;MEDN0009;MEDN0012;MEDN0018;MEDN0019;MEDN0042;MEDN0046;MEDN0704;MEDP0020;MEDP0752;MEDP1144	C00183+C00049+C00135+C00065+C00078+C00152+C00064+C00036+C00073+C00123+C00407	https:\\www.genome.jp\dbget-bin\www_bget?map05230
KP_vs_Con	Fructose and mannose metabolism	ko00051	2	6	185	562	MEDP0227*128;MEDN2102	C00159+C01934	https:\\www.genome.jp\dbget-bin\www_bget?map00051
KP_vs_Con	Galactose metabolism	ko00052	1	7	185	562	MEDP0227*128	C00159	https:\\www.genome.jp\dbget-bin\www_bget?map00052
KP_vs_Con	Amino sugar and nucleotide sugar metabolism	ko00520	3	7	185	562	MEDP0227*128;MEDN0237;MEDN1532	C00159+C00191+C00333	https:\\www.genome.jp\dbget-bin\www_bget?map00520
KP_vs_Con	Biosynthesis of nucleotide sugars	ko01250	4	7	185	562	MEDP0227*128;MEDN0461*203;MEDN0237;MEDN1532	C00159+C05382+C00191+C00333	https:\\www.genome.jp\dbget-bin\www_bget?map01250
KP_vs_Con	Lysosome	ko04142	1	2	185	562	MEDP0227*128	C00159	https:\\www.genome.jp\dbget-bin\www_bget?map04142
KP_vs_Con	C-type lectin receptor signaling pathway	ko04625	1	2	185	562	MEDP0227*128	C00159	https:\\www.genome.jp\dbget-bin\www_bget?map04625
KP_vs_Con	Ubiquinone and other terpenoid-quinone biosynthesis	ko00130	1	3	185	562	MEDN1909*186	C00156	https:\\www.genome.jp\dbget-bin\www_bget?map00130
KP_vs_Con	Folate biosynthesis	ko00790	1	1	185	562	MEDN1909*186	C00156	https:\\www.genome.jp\dbget-bin\www_bget?map00790
KP_vs_Con	Bile secretion	ko04976	3	20	185	562	MEDN2338*186;MEDP0184;MEDP0186	C00805+C02465+C01829	https:\\www.genome.jp\dbget-bin\www_bget?map04976
KP_vs_Con	Tyrosine metabolism	ko00350	6	16	185	562	MEDN0554*186;MEDN0473;MEDN0541;MEDN2260;MEDP0184;MEDP0186	C06044+C05580+C05576+C06046+C02465+C01829	https:\\www.genome.jp\dbget-bin\www_bget?map00350
KP_vs_Con	Pentose phosphate pathway	ko00030	1	7	185	562	MEDN0461*203	C05382	https:\\www.genome.jp\dbget-bin\www_bget?map00030
KP_vs_Con	Carbon metabolism	ko01200	6	16	185	562	MEDN0461*203;MEDN0009;MEDN0018;MEDN0065;MEDN0704;MEDN1695	C05382+C00049+C00065+C01005+C00036+C00168	https:\\www.genome.jp\dbget-bin\www_bget?map01200
KP_vs_Con	Arginine biosynthesis	ko00220	3	9	185	562	MEDN0499*203;MEDN0009;MEDN0046	C03406+C00049+C00064	https:\\www.genome.jp\dbget-bin\www_bget?map00220
KP_vs_Con	Alanine, aspartate and glutamate metabolism	ko00250	5	12	185	562	MEDN0499*203;MEDN0009;MEDN0042;MEDN0046;MEDN0704	C03406+C00049+C00152+C00064+C00036	https:\\www.genome.jp\dbget-bin\www_bget?map00250
KP_vs_Con	Biosynthesis of unsaturated fatty acids	ko01040	2	6	185	562	MEDN0391*206;MEDN0394	C06429+C16525	https:\\www.genome.jp\dbget-bin\www_bget?map01040
