protein_group	protein_names	genes	description	Con1	Con2	Con3	Con4	Con5	Con6	Con7	Con8	Con9	Con10	Con11	Con12	Con13	Con14	Con15	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	CRKP1	CRKP2	CRKP3	CRKP4	CRKP5	CRKP6	CRKP7	CRKP8	CRKP9	CRKP10	CRKP11	CRKP12	CRKP13	CRKP14	CRKP15	QC_pool1	QC_pool2	QC_pool3
A0A075B6H7	KV37_HUMAN	IGKV3-7	Probable non-functional immunoglobulin kappa variable 3-7	1710410.0	1488150.0	3580070.0	1872980.0	3666220.0	3021310.0	2951020.0	9470320.0	3328690.0	2329540.0	1788110.0	2932020.0	3112910.0	1943340.0	4557810.0	1928400.0	2274520.0	3084020.0	3751060.0	3052150.0	1466340.0	2748020.0	3939400.0	1958500.0	4504100.0	2663760.0	2682870.0	5592960.0	3523310.0	5094190.0	3142340.0	4701100.0	4668880.0	2418420.0	3749990.0	3928600.0	7178790.0	10283600.0	7333090.0	4728970.0	9352490.0	4838120.0	4273700.0	4599750.0	3984140.0	3485510.0	4603960.0	4559840.0
A0A075B6I0	LV861_HUMAN	IGLV8-61	Immunoglobulin lambda variable 8-61	1320780.0	1486400.0	1281290.0	1682360.0		4366.6	1286870.0	1803550.0	1323610.0	1224810.0	205543.0	1236490.0	147224.0	176585.0	591057.0	142890.0			991520.0	122690.0		85114.1	1485490.0	43892.8	443715.0	593003.0	877369.0	469767.0	1199690.0	1614310.0	91369.2	590185.0	797498.0	1779250.0	828278.0	704125.0	2112210.0	1489450.0		747315.0	1128680.0	2576460.0	508128.0	1935020.0	1719350.0	903502.0	1246570.0	1114380.0
A0A075B6I7	LV548_HUMAN	IGLV5-48	Probable non-functional immunoglobulin lambda variable 5-48								8143.75			8880.88			6597.09		19677.5		6495.75		3004.98					8783.71	12516.9	3599.39		3706.74	5986.76		29346.0		5277.33			12576.9	35881.6	3893.6	5388.89	50806.7	20194.8	21727.9	25890.7	14262.4	17497.7	16651.4	16072.9
A0A075B6I9	LV746_HUMAN	IGLV7-46	Immunoglobulin lambda variable 7-46	646053.0	758831.0	537217.0	765924.0	1148620.0	1224880.0	365010.0	1576650.0	525454.0	801772.0	351580.0	603065.0		431807.0	1409490.0	671636.0	1508440.0	974556.0	320287.0	226074.0		93505.2	1287350.0	193557.0	1425320.0	536821.0	820172.0	829830.0	749188.0	1540380.0	136610.0	644295.0	1064920.0	877052.0	542072.0	493754.0	1172090.0	972282.0	1735570.0	964732.0	1265150.0	3237930.0	731125.0	3001730.0	3877000.0	1481100.0	1254290.0	1286940.0
A0A075B6J1	LV537_HUMAN	IGLV5-37	Immunoglobulin lambda variable 5-37	3631.31	3471.55	4010.45	4284.51	2762.7				5062.21	6090.83					21398.0		10708.3	6160.23					6088.45	71082.5		1519.19		5287.85	2283.45	4097.62		5458.82	4803.77	2614.11	3196.0		16377.7	6425.01			4601.3	44872.3	4491.98	50161.9	51907.9	9880.62	11018.0	11091.7
A0A075B6J6	LV322_HUMAN	IGLV3-22	Immunoglobulin lambda variable 3-22								13780.4							41826.1										74330.1	72782.5	14852.0																					
A0A075B6J9	LV218_HUMAN	IGLV2-18	Immunoglobulin lambda variable 2-18	232280.0	273766.0	187644.0	242010.0	380665.0	316503.0	137363.0	359173.0	210027.0	218815.0	141443.0	143822.0	353199.0	366043.0	360496.0	298663.0	333229.0	264692.0	122208.0	140622.0	123830.0	88349.8	293446.0	146465.0	719416.0	385819.0	60183.3	636957.0	126998.0	290203.0	177308.0	221168.0	447537.0	572981.0	118315.0	119146.0	533372.0	235597.0	253235.0	196379.0	196854.0	325995.0	228063.0	337521.0	468722.0	337112.0	329597.0	350232.0
A0A075B6K0	LV316_HUMAN	IGLV3-16	Immunoglobulin lambda variable 3-16																																										21627.8		21665.9	10081.4			2143.44
A0A075B6K2	LV312_HUMAN	IGLV3-12	Immunoglobulin lambda variable 3-12	13183.5	14218.3	13676.8	9368.79	5675.97		4537.07		9551.46		19575.3	4532.7	24910.4		8842.9	55695.7	8494.83	6144.66	13017.5	5371.91	14781.4		11832.0	22325.7	9616.0		17411.6	13155.1	8948.94	21159.5	13870.0	3431.95		14327.7	5826.41		50232.3	4280.56		3511.78		73494.4		60759.9	73413.4	14034.3	18797.9	13485.8
A0A075B6K4	LV310_HUMAN	IGLV3-10	Immunoglobulin lambda variable 3-10	34895.6	35306.9	82675.3	63477.6	319264.0	109824.0	70942.5	201681.0	134748.0	161673.0	282076.0	101301.0	290777.0	202710.0	145831.0	421248.0	293592.0	148069.0	183557.0	76933.9	55801.4	217498.0	158834.0	139133.0	395956.0	112099.0	183275.0	194637.0	158547.0	330188.0	276184.0	186300.0	85963.9	155751.0	183079.0	211706.0	174315.0	339819.0	535794.0	70585.0	412151.0	410826.0	313328.0	354867.0	374292.0	224478.0	172745.0	195760.0
A0A075B6K5	LV39_HUMAN	IGLV3-9	Immunoglobulin lambda variable 3-9		2863.38	37844.2		39159.9	48371.4	35024.6	48367.0	46127.1	33203.4	35003.2	38140.0	69456.5	100082.0	26908.1	36253.1	84100.4	69300.8	47975.5	12580.5	60553.3	47380.4	66162.0	28702.4	89236.4	23529.0	57004.5	71794.7	37380.6	67906.8	56091.2	40679.9	7232.64	181928.0	38212.3	41540.0	17710.3	72429.2	69857.5	19318.7	36499.0	48876.3	43205.6	66263.6	70395.9	69853.9	86887.1	74869.3
A0A075B6P5;P01615	KV228_HUMAN;KVD28_HUMAN	IGKV2-28;IGKV2D-28	Immunoglobulin kappa variable 2-28			49779.0	31116.6	201533.0	69108.8	38232.0	99639.9	58498.8			47432.0	57085.8	61367.1			103463.0	119190.0	68931.1	60833.4	90452.2		101835.0	59663.4	105399.0	31132.2	44523.5	89544.3	57071.5	57993.7			61302.5		37134.6	38285.7	211514.0	36369.8	48603.6	59167.1	47056.2	61820.7	45792.1	68795.3	79235.8	40532.6	65546.2	
A0A075B6Q5	HV364_HUMAN	IGHV3-64	Immunoglobulin heavy variable 3-64	1537.25	3598.77	5644.46	4234.4	5532.72	5914.15	5931.89		7173.88	7277.43	11166.5		6890.25	6912.42	10868.1		4344.26	2841.23		2496.68	50208.1	6410.62	11928.3		36571.5	5416.35	35867.3	15259.7	9354.95	23323.8	20086.9	17873.1	28166.6	4404.34	27653.2	38589.5	11129.9	10011.3	41509.2	4010.57	9496.53	34775.7	17503.1	12065.9	18147.8	11939.4	7856.12	7713.29
A0A075B6R2	HV404_HUMAN	IGHV4-4	Immunoglobulin heavy variable 4-4					60083.5																																											
A0A075B6S2	KVD29_HUMAN	IGKV2D-29	Immunoglobulin kappa variable 2D-29	1631330.0	1671440.0	1749950.0	1568080.0	2856000.0	1958450.0	1364210.0	4223650.0	1772460.0	1677010.0	1514290.0	1922910.0	3148820.0	1535120.0	1998860.0	2391650.0	2962490.0	2039780.0	1783920.0	1646730.0	1942830.0	1648300.0	2885510.0	1787820.0	4143540.0	1643660.0	2002080.0	3786310.0	1459400.0	2636020.0	2143870.0	2004600.0	2443520.0	1891340.0	1484400.0	1351050.0	4501690.0	5233680.0	2309690.0	2088370.0	4921530.0	2455290.0	2305660.0	1949000.0	2534080.0	3032690.0	2804220.0	2957660.0
A0A075B6S5	KV127_HUMAN	IGKV1-27	Immunoglobulin kappa variable 1-27	475816.0	427113.0	954346.0	442565.0	944921.0	1148920.0	983606.0	966142.0	1191870.0	1095690.0	1331410.0	1134970.0	2226840.0	1288560.0	2287640.0	948378.0	1156760.0	958887.0	886134.0	626043.0	1182560.0	1213160.0	1246690.0	1462280.0	2272820.0	532724.0	853222.0	1284030.0	571563.0	1182000.0	1220130.0	911416.0	1131940.0	762425.0	1328400.0	1161530.0	1954210.0	502100.0	1131990.0	442883.0	477609.0	803153.0	880592.0	855067.0	897495.0	1230070.0	1198540.0	1226650.0
A0A075B6S6	KVD30_HUMAN	IGKV2D-30	Immunoglobulin kappa variable 2D-30	4249.38	6947.19	3790.48	2920.2	2790.56								12533.4										3969.01		34983.5		5333.3			11861.1	6023.18									106961.0	4391.81	8390.04		7201.36		11891.0	9887.36	9686.8
A0A075B6S9;P0DSN7	KV137_HUMAN;KVD37_HUMAN	IGKV1-37;IGKV1D-37	Probable non-functional immunoglobulinn kappa variable 1-37	18098.9	17662.1	59372.2	14155.7	12806.6	478657.0	167953.0	26293.6	49716.5	14000.1	15199.3	159823.0	41557.9	16320.1	57388.6	14478.8	27808.9	24114.5	33570.3	84023.1	23495.4	13159.6	37352.9	26852.6	27311.8	35194.4	24280.6	42185.9	19613.2	45021.3	28313.8	22525.3	41427.2	21623.1	11267.6	12288.6	31775.1	27319.9	121277.0	31976.3	28147.6	43535.0	20415.1	26590.7	26551.5	51875.9	35210.9	46527.9
A0A087WSX0	LV545_HUMAN	IGLV5-45	Immunoglobulin lambda variable 5-45	66877.9	58041.4	48813.4	51240.9	69684.5	73535.5	50344.1	60603.0	53056.8	50494.8	60624.6	43218.0	189668.0	67506.1	53553.9	81814.8	70586.3	71259.0	44663.4	29253.3	38844.1	39037.5	81475.0	82687.4	74211.4	46815.2	140573.0	58662.2	57764.2	82986.9	18930.3	71685.5	49342.7	41435.1	81627.3	78696.6	92228.9	110014.0	66646.1	36215.1	114602.0	168507.0	63164.0	173546.0	200689.0	100638.0	102331.0	100624.0
A0A087WSY4	HV432_HUMAN	IGHV4-30-2	Immunoglobulin heavy variable 4-30-2			4861.42			4937.62					6613.82			2957.23		6677.26				2187.85				5475.71	9159.36	4809.82		7234.45									10396.5	5360.79		4051.07	6517.93	14021.3		14307.7	22605.0	8448.13	5612.09	7209.58
A0A087WSY6	KVD15_HUMAN	IGKV3D-15	Immunoglobulin kappa variable 3D-15	109289.0	115055.0	241446.0	113656.0	360993.0	260693.0	156971.0	301376.0	239410.0	239054.0	216424.0	185392.0	762680.0	210839.0	686389.0	236413.0	228668.0	234405.0	302706.0	172699.0	269151.0	387263.0	350172.0	1445520.0	486392.0	270665.0	202220.0	360231.0	431824.0	491290.0	163821.0	315440.0	185458.0	175513.0	164904.0	163336.0	613629.0	197676.0	1146670.0	352854.0	161563.0	416102.0	298518.0	458523.0	521984.0	421874.0	379502.0	395055.0
A0A087WSZ0	KVD08_HUMAN	IGKV1D-8	Immunoglobulin kappa variable 1D-8						13365.4	2885.66								18636.3				7506.6						12026.1					3113.37	4816.23						3662.2						6987.47	4643.75	2328.96			
A0A087WW87;P01614	KV240_HUMAN;KVD40_HUMAN	IGKV2-40;IGKV2D-40	Immunoglobulin kappa variable 2-40	9959.4	11413.3	5207.6	7562.03	20979.3	44352.8		32685.7	19526.2	25544.1	9067.61	17501.9	69190.6		18168.6	10079.5	11676.2	8656.92	118851.0	20161.2	96026.9	36376.8	16706.1	22543.7	27476.7	5948.54	4138.02	138835.0	44600.5	34887.2	162228.0	18170.6		29024.7	18322.0	11699.7	33411.4	23768.9	11686.2	27099.3	26921.2	4599.33	14790.6	7018.71	6604.86	49598.0	58842.8	65901.7
A0A0A0MRZ8;P04433	KV311_HUMAN;KVD11_HUMAN	IGKV3-11;IGKV3D-11	Immunoglobulin kappa variable 3D-11	2038830.0	1999740.0	4402990.0	2059080.0	4694180.0	2627340.0	2588990.0	1604450.0	3916000.0	2129090.0	1145480.0	1942690.0	3028170.0	1987780.0	2714840.0	3829200.0	1074950.0	1810960.0	3670780.0	2647540.0	870920.0	956586.0	4768650.0	1816840.0	3742920.0	2901830.0	2426630.0	3934680.0	1777420.0	4876530.0	3580560.0	4104690.0	2707300.0	2657300.0	2831020.0	2873200.0	5470730.0	2324380.0	5276750.0	3754940.0	2066200.0	4632460.0	3669820.0	3905120.0	3540600.0	2297290.0	3302520.0	2413160.0
A0A0A0MRZ9	LV552_HUMAN	IGLV5-52	Immunoglobulin lambda variable 5-52	10892.6	8810.3	3683.96	10359.8	15407.0	16150.7	10133.5	24010.5	9117.01	6748.26	15646.2	7484.28		17128.2	14936.7	11256.6	46648.6	50491.0	9718.47	8622.41	10728.5	17306.4	14469.8	11499.3	19894.3	23188.7	126910.0		8825.01	10399.2	11070.0	11604.2	6320.01	21885.3	3502.92	3825.82	32470.1	16472.3		4965.45	14473.8	19775.9	5819.92	20865.1	24922.8	16383.4	14283.7	14737.9
A0A0A0MS00	LV332_HUMAN	IGLV3-32	Probable non-functional immunoglobulin lambda variable 3-32	14986.5	13940.3		14306.1				1026.59																																								
A0A0A0MS14	HV145_HUMAN	IGHV1-45	Immunoglobulin heavy variable 1-45	4748.05	4536.73	6280.12	3954.77	5383.15	3977.9	3662.08	21361.5	3201.44						11153.3	6250.27		5507.16	5377.4	3941.34				9164.97		1995.91	10684.0		6042.66	13041.7	3531.77	6657.96	5098.17	7030.37		6173.97	3972.05	6657.73	7370.3	3963.43	7039.15	9382.58	6594.96	8179.8	12640.1	5293.25		5359.83
A0A0A0MS15	HV349_HUMAN	IGHV3-49	Immunoglobulin heavy variable 3-49	137127.0	135022.0	350569.0	153674.0	257155.0	448901.0	126505.0	142558.0	300318.0	263796.0	229340.0	150597.0	609126.0	477392.0	362545.0	214773.0	208100.0	194664.0	252693.0	119069.0	215239.0	182715.0	278432.0	330781.0	599612.0	179712.0	200592.0	434449.0	151373.0	391975.0	166663.0	230599.0	266670.0	124396.0	219476.0	225242.0	501999.0	167850.0	862719.0	215868.0	185277.0	279578.0	243778.0	257403.0	254420.0	295561.0	286969.0	288070.0
A0A0A0MT36	KVD21_HUMAN	IGKV6D-21	Immunoglobulin kappa variable 6D-21	29658.8	22815.3	11928.5	23544.3	107591.0	29765.8	45254.5	122747.0	12601.8	27323.2	58444.2	38415.1	108398.0	66653.3	45114.3	139778.0	203627.0	268326.0	129414.0	85692.2	57252.3	104247.0	112291.0	271441.0	297333.0	90986.2	158347.0	164858.0	32785.4	77498.0	88254.6	61541.1	51612.3	31087.1	75695.2	83768.6	157067.0	66489.2	56975.7	111777.0	65898.4	127736.0	55236.4	164281.0	109453.0	119165.0	87522.7	99361.7
A0A0B4J1U3	LV136_HUMAN	IGLV1-36	Immunoglobulin lambda variable 1-36	43228.1	43301.6	91273.8	42887.8	190276.0	109244.0	259949.0	472858.0	135880.0	78725.7	171935.0	305723.0	21578.5	104883.0	238629.0	74937.1	163906.0	147265.0	190811.0	94547.5	57776.7	183625.0	145445.0	90113.0	186408.0	95508.8	47539.3	115646.0	104491.0	132544.0	55851.6	139687.0	68317.3	169194.0	41316.5	38482.1	190556.0	75153.1	110160.0	93041.0	69360.6	179101.0	110786.0	221970.0	242972.0	143224.0	133987.0	136251.0
A0A0B4J1U7	HV601_HUMAN	IGHV6-1	Immunoglobulin heavy variable 6-1	150667.0	162839.0	318190.0	145574.0	271399.0	391333.0	245694.0	444232.0	410120.0	137435.0	109501.0	360292.0	192030.0	225374.0	233671.0	251216.0	197650.0	239149.0	168420.0	120527.0	113553.0	89478.6	207733.0	244400.0	694278.0	219896.0	335323.0	364936.0	211636.0	405396.0	182343.0	175100.0	493781.0	177369.0	208395.0	203617.0	267133.0	464103.0	384842.0	220619.0	675319.0	539403.0	244656.0	400881.0	427238.0	264771.0	248363.0	227109.0
A0A0B4J1V0	HV315_HUMAN	IGHV3-15	Immunoglobulin heavy variable 3-15	135276.0	155161.0	282702.0	142473.0	203311.0	277025.0	114770.0	206944.0	282193.0	246779.0	56318.0	108801.0	157948.0	108641.0	116029.0	170026.0	218103.0	130024.0	116765.0	63440.9	59902.7	81337.8	166554.0	78410.5	214862.0	146477.0	128350.0	96328.9	135380.0	275242.0	75403.1	539735.0	274612.0	149213.0	83267.3	74660.3	527702.0	184501.0	898798.0	160374.0	178509.0	245888.0	510973.0	237305.0	243353.0	201887.0	297258.0	294883.0
A0A0B4J1V1	HV321_HUMAN	IGHV3-21	Immunoglobulin heavy variable 3-21	2461.14		3277.18		3590.25		2636.94		3850.99	40442.6		4208.47	10075.9		14867.5	5244.24		5192.49		2492.01	5605.98	3700.99	3973.82	6056.67	14144.3			5305.18						3327.29			7138.97		4778.85						2550.56	5182.83	3548.59	6594.69
A0A0B4J1V2	HV226_HUMAN	IGHV2-26	Immunoglobulin heavy variable 2-26	11093.9	34575.7		22159.6	35321.1	10270.8	13329.8	113341.0	3664.8	64259.2	49035.2	16743.1	93201.4	100807.0	75822.1	14468.0	29407.4	14359.9	34726.7	12947.5	76077.7	55579.9	32551.7	52308.7	143674.0	42094.5	27893.4	28316.1	20969.6	33398.7	37652.6	18729.4	26852.8	31296.3		6632.91	100439.0	63040.6	37755.8	8244.24	61068.9		8741.8			40633.3	39647.0	53098.2
A0A0B4J1V6	HV373_HUMAN	IGHV3-73	Immunoglobulin heavy variable 3-73	14213.3	18078.7	47557.5	27036.6	78571.1	116138.0	35512.4	62032.1	58561.0	42541.3	29810.5	34379.8	74152.2	113855.0	71915.0	60142.7	60593.3	41744.0	44036.0	36354.3	59356.5	50184.8	53924.1	39847.8	148595.0	38451.1	65853.0	84030.6	19966.8	66791.9	42813.5	41933.3	87911.6	46745.4	22043.3	18549.9	105004.0	22846.2	66862.4	154177.0	14252.0	40336.2	39714.2	34523.6	37189.8	60461.2	48890.5	53955.4
A0A0B4J1X5	HV374_HUMAN	IGHV3-74	Immunoglobulin heavy variable 3-74	22134.1	26757.8	88642.0	28299.5	25387.5	85050.4	24324.2	72873.1	73358.2	44309.8		17505.7		87414.2	35584.6	32819.9	42245.9	24411.1	26884.5	77247.5			23799.4		74323.3	23973.8	111651.0	58415.5	22399.4	58908.5	18285.0	62698.5	39882.1	17440.4	24520.2	30125.6	76833.1	82737.5	66117.6	11552.5	72584.1	28761.3	62835.2	19479.9		21097.5	30663.3	26511.5
A0A0B4J1X8	HV343_HUMAN	IGHV3-43	Immunoglobulin heavy variable 3-43	32613.9	31032.2	40365.1	32507.3		27321.6			49979.9		19095.6							43042.3				29269.7			96346.9	38246.9	91561.8						61532.3		15651.9										54066.9			
A0A0B4J1Y8	LV949_HUMAN	IGLV9-49	Immunoglobulin lambda variable 9-49	307706.0	471074.0	183220.0	401086.0	242359.0	401187.0	405838.0	302210.0	210333.0		382183.0	377997.0	193103.0	381021.0	310617.0	123679.0	676970.0	600437.0	327862.0	158458.0	136681.0	237519.0	389485.0	288672.0	491309.0	307811.0	524206.0	272100.0	186474.0	539664.0	306182.0	315486.0	471100.0	194711.0	81836.2	88413.0	1012360.0	607255.0	558871.0	442220.0	533881.0	414233.0	296126.0	443909.0	379250.0	344264.0	390524.0	384448.0
A0A0B4J1Y9	HV372_HUMAN	IGHV3-72	Immunoglobulin heavy variable 3-72	490887.0	562732.0	1452180.0	676524.0	815959.0	1001450.0	380264.0	609698.0	1583360.0	1059120.0	387279.0	371814.0	817257.0	681173.0	769715.0	1025640.0	619230.0	585036.0	547748.0	455572.0	509838.0	327621.0	841367.0	400511.0	986910.0	431692.0	962307.0	1680680.0	577287.0	1236240.0	757104.0	618098.0	644768.0	576019.0	504244.0	454138.0	857649.0	549552.0	1129180.0	777686.0	527022.0	620206.0	763847.0	426197.0	354091.0	476719.0	476914.0	466831.0
A0A0B4J2D9;P0DP09	KV113_HUMAN;KVD13_HUMAN	IGKV1-13;IGKV1D-13	Immunoglobulin kappa variable 1D-13	17615.2	15393.7	31185.7	15090.1	16812.9		15491.5	158250.0		123194.0	107597.0	19613.8	289549.0	767054.0	66325.1	20677.5	27972.4	26623.4	535408.0	204818.0	86873.7	20399.5	143574.0	56835.2	72701.3	21300.6	39399.4	87361.5	44070.5	79990.4	19255.2	64400.0	140123.0	106813.0	39578.4	36717.5	286917.0	50074.3	40904.4	115051.0	40800.2	50582.2	63425.5	20104.3	33479.7	82360.5	82318.7	84318.9
A0A0B4J2H0	HV69D_HUMAN	IGHV1-69D	Immunoglobulin heavy variable 1-69D	13712.7	10278.7	27899.0	8438.84	8405.7			82618.0	22679.3	46251.5			69673.9		250210.0	10388.5			64232.5	24015.6	20314.7	80539.7	37550.9	38596.5	15919.0		38404.3	98938.0	32549.4	62859.0	25828.7	33628.2	37795.9	258504.0	13122.5	14691.7	55950.2	58358.1		23410.0	57472.5	29246.4	24791.2	30892.9	34469.0	70817.1	65867.1	70568.6
A0A0C4DH24	KV621_HUMAN	IGKV6-21	Immunoglobulin kappa variable 6-21	8436.66	8046.4	60191.4	5222.9	31880.4	24171.5	14161.2	38122.3	66246.3	16050.9	20836.8	9059.94	41597.2	19655.8	19243.8	27494.0	26766.3	16147.1	16441.0	19601.3	30986.8	14853.5	23473.7	33995.9	25597.9	20868.6	145518.0	45005.4	10814.6	20089.4	14867.1	24337.9	17049.7	9003.67	15699.1	15081.3	24176.0	12823.0	13774.3	21980.9	15267.0	24679.7	26622.2	28725.2	21421.8	20641.9	18942.8	23454.7
A0A0C4DH25	KVD20_HUMAN	IGKV3D-20	Immunoglobulin kappa variable 3D-20	583487.0	562542.0	670762.0	650335.0	970108.0	571738.0	884667.0	478749.0	580475.0	498848.0	345169.0	815129.0	969081.0	365565.0	768780.0	348888.0	490300.0	517268.0	1139670.0	617408.0	123148.0	190272.0	1125470.0	1059200.0	840691.0	311251.0	639410.0	1257640.0	749281.0	1474330.0	5715430.0	976773.0	830375.0	521276.0	556380.0	503432.0	1668460.0	731713.0	2422160.0	1112420.0	663423.0	1730890.0	866384.0	1450390.0	1222210.0	1300440.0	2181180.0	1638390.0
A0A0C4DH29	HV103_HUMAN	IGHV1-3	Immunoglobulin heavy variable 1-3		1745.34	106214.0		183619.0			238056.0	132400.0	123186.0	54618.3		163983.0	116139.0	293834.0	99188.2	155136.0	140852.0	36240.8	69399.8	82211.5	224321.0	106837.0	123050.0	317134.0	91109.4	53801.2	299123.0	98275.2	120812.0	37644.9	117548.0	405300.0	79306.7	45238.1	42235.6	154096.0	117143.0		112513.0	125898.0	45462.6	86890.8	56447.2	57610.2	107536.0	113501.0	114564.0
A0A0C4DH31	HV118_HUMAN	IGHV1-18	Immunoglobulin heavy variable 1-18	48303.6	48426.3	116118.0	48192.4	109545.0	174790.0	57276.9	206712.0	134726.0	193887.0	99314.4	66163.4	309873.0	224780.0	491964.0	181992.0	168427.0	151387.0	176272.0	91555.7	187900.0	1148760.0	168315.0	187366.0	207978.0	98270.6	147685.0	225179.0	619785.0	179228.0	45063.7	90180.0	83195.0	117030.0	60136.3	58558.0	252294.0	193518.0	158833.0	111957.0	181875.0	364220.0	94302.5	570764.0	479737.0	250724.0	248981.0	261967.0
A0A0C4DH33	HV124_HUMAN	IGHV1-24	Immunoglobulin heavy variable 1-24	216472.0	221986.0	752440.0	229632.0	457835.0	454020.0	662483.0	2124040.0	654939.0	432457.0	198391.0	591678.0	524823.0	442168.0	1506100.0	361583.0	368343.0	429036.0	434310.0	280149.0	101447.0	1185320.0	130195.0	508481.0	1367230.0	390418.0	370751.0	324312.0	495302.0	571589.0	223255.0	332386.0	224067.0	400666.0	186956.0	192023.0	899699.0	475792.0	275106.0	222184.0	468680.0	865756.0	378166.0	790965.0	860281.0	411759.0	406362.0	404103.0
A0A0C4DH34	HV428_HUMAN	IGHV4-28	Immunoglobulin heavy variable 4-28								7299.12		9171.74	4902.16		17854.0						11671.9						6062.51			9098.2												3371.29						10339.8	8635.94	
A0A0C4DH35	HV335_HUMAN	IGHV3-35	Probable non-functional immunoglobulin heavy variable 3-35	12662.0	12544.0	32930.6	10773.9	23052.0	24747.0	16450.8	15134.7	28324.2	27264.6		8149.12			23796.0	35400.9	17745.7	20086.5	27509.2	29010.3		21270.6	29830.1	19270.9	47254.7	25298.3	20292.4	20724.7	9538.41	38527.4	14343.6	26322.4	20148.1	26496.7	17990.1	8436.91	36625.8	58250.4	25677.2	19373.9	50313.1	37028.3	22984.5	35462.2	29908.8	15592.5	24883.7	21002.1
A0A0C4DH36	HV338_HUMAN	IGHV3-38	Probable non-functional immunoglobulin heavy variable 3-38	111670.0	119476.0	146300.0	103360.0	114409.0	107501.0	45027.6	138753.0	100312.0	129095.0	44573.4	47197.6	215927.0	85314.1	110145.0	130034.0	118796.0	106030.0	109924.0	99517.9	88813.7	17391.2	159049.0	51946.8	198182.0	103754.0	56723.5	115317.0	64413.8	164233.0	121296.0	116081.0	115649.0	105166.0	104720.0	97899.4	176192.0	101146.0	195370.0	84520.7	114013.0	219469.0	122601.0	159741.0	201402.0	122506.0	117031.0	105534.0
A0A0C4DH38	HV551_HUMAN	IGHV5-51	Immunoglobulin heavy variable 5-51	474160.0	564798.0	709506.0	579788.0	552531.0	494209.0	437805.0	791155.0	643235.0	975988.0	663851.0	432429.0	1844490.0	922874.0	3009190.0	1073380.0	817160.0	696151.0	362009.0	446136.0	1107540.0	1385430.0	682048.0	1142660.0	1526810.0	936384.0	750808.0	1077000.0	801153.0	1234440.0	535710.0	627391.0	815796.0	849810.0	447260.0	478177.0	1142400.0	1284820.0	1309430.0	566182.0	1358200.0	1650780.0	662004.0	1373200.0	1390660.0	928041.0	929606.0	901667.0
A0A0C4DH43	HV70D_HUMAN	IGHV2-70D	Immunoglobulin heavy variable 2-70D	9203.93			6367.04	17465.2		46969.1				32660.4	46804.7		79864.3	12521.2	76875.0	18825.3	18219.7		12932.3		15170.2	16384.5	186440.0	112842.0		18291.6		9630.48	13808.0								9890.72		14572.5						10296.5	15609.1	
A0A0C4DH55	KVD07_HUMAN	IGKV3D-7	Immunoglobulin kappa variable 3D-7	3077.93	3416.35	3959.75	3105.59	9326.95			9364.16						8930.94					4853.32		9993.13		14486.8		33108.5		2726.41			10067.6		18127.2			4749.04					4354.47			17521.2		11385.7			9159.05
A0A0C4DH67	KV108_HUMAN	IGKV1-8	Immunoglobulin kappa variable 1-8	127269.0	95376.7	301025.0	114854.0	524174.0	448295.0	217997.0	526826.0	496666.0	658182.0	1366920.0	329518.0	1591830.0	958193.0	1431130.0	502888.0	649309.0	455755.0	468509.0	238028.0	602333.0	428896.0	394059.0	428941.0	823325.0	30017.7	417361.0	388758.0	57493.8	207889.0	183803.0	421414.0	85176.1	109765.0	1618630.0	1435800.0	459588.0	64152.0	477593.0	165204.0	87950.5	124879.0	175428.0	408555.0	319430.0	831710.0	762283.0	774161.0
A0A0C4DH68	KV224_HUMAN	IGKV2-24	Immunoglobulin kappa variable 2-24	110879.0	113406.0	458818.0	114815.0	461582.0	543966.0	396124.0	239165.0	482163.0	642501.0	171878.0	292648.0	565377.0	356355.0	547538.0	257222.0	135781.0	143788.0	239571.0	353185.0	241102.0	89094.7	318565.0	878946.0	445763.0	139085.0	167350.0	538016.0	253928.0	926585.0	211954.0	534565.0	683199.0	334459.0	598502.0	572379.0	358683.0	331467.0	641671.0	353169.0	323374.0	317591.0	502653.0	320921.0	333937.0	315607.0	445329.0	408332.0
A0A0C4DH72	KV106_HUMAN	IGKV1-6	Immunoglobulin kappa variable 1-6	521913.0	488745.0	1086980.0	518640.0	2002220.0	1391220.0	917205.0	907875.0	1279440.0	766817.0	745255.0	1027670.0	942714.0	1057450.0	2768520.0	549035.0	824003.0	804781.0	992348.0	934048.0	352478.0	666976.0	1429670.0	1047740.0	1046900.0	731615.0	727525.0	1197610.0	796726.0	1661280.0	674207.0	1683620.0	1214560.0	933068.0	891034.0	885396.0	1802640.0	676571.0	2413040.0	993014.0	757519.0	895524.0	1438930.0	854844.0	889069.0	1051190.0	1086180.0	1142210.0
