protein_group	protein_names	genes	description	Con1	Con2	Con3	Con4	Con5	Con6	Con7	Con8	Con9	Con10	Con11	Con12	Con13	Con14	Con15	KP1	KP2	KP3	KP4	KP5	KP6	KP7	KP8	KP9	KP10	KP11	KP12	KP13	KP14	KP15	CRKP1	CRKP2	CRKP3	CRKP4	CRKP5	CRKP6	CRKP7	CRKP8	CRKP9	CRKP10	CRKP11	CRKP12	CRKP13	CRKP14	CRKP15	QC_pool1	QC_pool2	QC_pool3
P07988	PSPB_HUMAN	SFTPB	Pulmonary surfactant-associated protein B	20548.9	17525.2	11617.6	18190.7	8384.07	2014.81	7489.44	8792.19	9947.34	5027.38	14745.3	13105.8	8391.46	23841.6	6741.04	3527.4	3740.89		9679.71	79803.9	36863.6	54825.2	14520.7	11969.9	11339.0	27193.2	32353.5	4694.16	36268.2		17197.8	18420.9	21448.0	265078.0	31767.7	34033.1	15873.8	12247.2	19388.8	49456.8	10485.9	3140.28	14264.8	4736.91	3478.86	38475.0	37414.6	44380.4
P07996	TSP1_HUMAN	THBS1	Thrombospondin-1	3746280.0	4081290.0	5896040.0	3999330.0	1704780.0	6492660.0	3894280.0	5258320.0	5399770.0	1997210.0	1326120.0	4060520.0	2399770.0	2792970.0	3056880.0	2414230.0	3639990.0	4099390.0	4275980.0	136780.0	46536.6	717117.0	133073.0	1029440.0	1046260.0	3243370.0	1495620.0	3062080.0	386258.0	6095290.0	3684900.0	519473.0	1381580.0	590296.0	1485310.0	1635330.0	3213240.0	4465230.0	6122740.0	6337550.0	4677040.0	3233150.0	540849.0	3493760.0	3316910.0	2662540.0	2681270.0	2702420.0
P08133	ANXA6_HUMAN	ANXA6	Annexin A6	793.657	1755.18							1505.65	2940.57									3027.94					2210.58	1268.61		1192.49				1934.07			4229.92					3003.45	639.983		1179.7		821.557	701.097			1061.93
P08185	CBG_HUMAN	SERPINA6	Corticosteroid-binding globulin	2348520.0	2309040.0	2883760.0	2341810.0	2103180.0	3335490.0	2988260.0	3165460.0	3093380.0	2835880.0	2412090.0	3129880.0	2840130.0	3292280.0	2933630.0	2956210.0	3104420.0	3243100.0	2120190.0	1767500.0	2771300.0	2627430.0	2515700.0	2869880.0	1984830.0	1238090.0	1224100.0	3391050.0	2451210.0	1876900.0	1737060.0	3281800.0	2091120.0	1953040.0	2827260.0	2627360.0	2154170.0	2090120.0	2372030.0	2381610.0	2052150.0	2793090.0	2917790.0	2903790.0	2840140.0	2231260.0	2332780.0	2222000.0
P08195	4F2_HUMAN	SLC3A2	Amino acid transporter heavy chain SLC3A2	25177.1	23967.7	22460.8	24042.3	23426.7	25704.0	28899.6	34488.6	29182.5	18322.5	16578.6	35174.1	25438.8	23889.6	23797.3	28112.0	23878.1	19544.0	17576.7	31322.4	23280.8	16469.1	31519.1	31747.8	29402.6	19975.1	27462.8	18158.9	20357.4	24162.0	15849.3	29537.7	17430.8	19470.5	19127.1	15976.8	10040.3	18918.2	23237.3	21633.4	22954.5	23452.1	22159.4	22506.4	25007.7	19863.5	18724.7	19111.5
P08217	CEL2A_HUMAN	CELA2A	Chymotrypsin-like elastase family member 2A			5139.0				13368.9		7472.61		39122.4	12775.9					22900.3	40846.6	35476.1			51347.8	3108.49			5474.65			24533.4		3697.53	2332.46	15843.5		10903.0	5816.74	7836.98										6541.94	
P08238	HS90B_HUMAN	HSP90AB1	Heat shock protein HSP 90-beta	47032.3	50336.2	13514.7	49418.3	20846.5	17274.1	21208.1	10541.3	14550.5	11700.6	13724.9	18613.1	8167.18	22043.7	11414.5	9075.22	13394.4	10564.0	47684.4	40368.6	12765.5	25236.1	14531.1	29236.0	24850.7	44472.9	44446.2	13055.7	21939.1	38807.5	33690.7	9451.36	27014.1	80599.4	29169.2	37932.4	35807.0	27303.9	65254.6	39359.1	33181.8	24747.1	11397.2	22906.4	23237.6	32064.1	32291.3	31746.1
P08246	ELNE_HUMAN	ELANE	Neutrophil elastase														1780.52					2703.82						1627.16	2421.54	822.669			1424.07				7453.73								2432.42		2111.31	1448.96		1389.73	2017.67
P08253	MMP2_HUMAN	MMP2	72 kDa type IV collagenase	48527.9	46707.2	38043.5	47309.9	186361.0	42653.7	37006.2	24596.3	29453.1	37969.7	21881.2	39825.4	31010.9	24567.9	26678.6	33336.7	12764.0	22624.6	32506.4	91464.1	50923.7	29342.4	94368.8	74820.5	27134.7	100307.0	80970.3	45445.3	43341.8	107765.0	21021.9	46780.4	40940.9	34883.4	37221.8	38282.2	43531.5	45849.9	37440.9	32383.6	48996.5	68928.7	45789.3	69590.5	63597.0	30356.6	30872.7	27858.0
P08254	MMP3_HUMAN	MMP3	Stromelysin-1	6348.39	5154.51		4403.97	14380.5					3972.62		4233.4		3706.44	3332.7	4506.99			8332.78	29165.0	10242.5	5040.85	23535.9	1953.92	7678.44	10852.0	19980.4	6988.17	10151.1	23155.8	10460.1	4200.09		19693.7	4761.14	4165.4	10088.8	6226.21	10304.6	8321.62	7129.96	4132.86	6050.14	4280.08	4178.18	6497.31	4904.37	6675.44
