comparison	kegg_pathway	description	gene_ratio	background_ratio	rich_factor	fold_enrichment	p_value	p_adjusted	protein_groups	genes	kegg_genes	count
CRKP_vs_Con		Platelet activation	13/169	31/853	0.4193548387096774	2.116625310173697	0.003399822960275886	0.0866954854870351	Q9HCN6/P08514/P17301/P04899/P02671/P04275/P02452/P05106/Q76LX8/P02675/P02679/P40197/P05556	GP6/ITGA2B/ITGA2/GNAI2/FGA/VWF/COL1A1/ITGB3/ADAMTS13/FGB/FGG/GP5/ITGB1		13
CRKP_vs_Con		Prion disease	18/169	51/853	0.3529411764705883	1.781413156978768	0.005622917853473805	0.1151534750148056	P11047/Q99941/O00231/O14818/P20618/P25705/P25788/P25787/P28070/P63098/P14598/Q71U36/P05141/Q9H4B7/P25789/P49721/Q15008/P60900	LAMC1/ATF6B/PSMD11/PSMA7/PSMB1/ATP5F1A/PSMA3/PSMA2/PSMB4/PPP3R1/NCF1/TUBA1A/SLC25A5/TUBB1/PSMA4/PSMB2/PSMD6/PSMA6		18
CRKP_vs_Con		Intestinal immune network for IgA production	4/169	5/853	0.8	4.037869822485207	0.006322151569440308	0.1151534750148056	P01137/O75144/P01833/Q13477	TGFB1/ICOSLG/PIGR/MADCAM1		4
CRKP_vs_Con		Progesterone-mediated oocyte maturation	4/169	5/853	0.8	4.037869822485207	0.006322151569440308	0.1151534750148056	P07900/P08238/P05019/P04899	HSP90AA1/HSP90AB1/IGF1/GNAI2		4
CRKP_vs_Con		Toll-like receptor signaling pathway	4/169	5/853	0.8	4.037869822485207	0.006322151569440308	0.1151534750148056	P10451/P08571/P18428/Q9Y6Y9	SPP1/CD14/LBP/LY96		4
CRKP_vs_Con		Protein processing in endoplasmic reticulum	13/169	34/853	0.3823529411764706	1.929864253393665	0.008701672969048427	0.1479284404738233	Q99941/P63208/Q8NBS9/P07900/P14314/Q9H173/P14625/P08238/P27824/Q12907/P13667/P27797/Q9NYU2	ATF6B/SKP1/TXNDC5/HSP90AA1/PRKCSH/SIL1/HSP90B1/HSP90AB1/CANX/LMAN2/PDIA4/CALR/UGGT1		13
CRKP_vs_Con		Amyotrophic lateral sclerosis	16/169	46/853	0.3478260869565217	1.755595574993568	0.01055551097048598	0.1682284560921204	O00231/O14818/P20618/P25705/P25788/P25787/P28070/P61006/P63098/Q15008/Q71U36/Q9H4B7/P25789/P49721/Q14203/P60900	PSMD11/PSMA7/PSMB1/ATP5F1A/PSMA3/PSMA2/PSMB4/RAB8A/PPP3R1/PSMD6/TUBA1A/TUBB1/PSMA4/PSMB2/DCTN1/PSMA6		16
CRKP_vs_Con		Lipid and atherosclerosis	13/169	35/853	0.3714285714285714	1.874725274725275	0.01147438409729316	0.1721157614593974	P34932/P07900/P08571/P18428/P14625/P08238/P14598/P05362/P19320/Q13555/Q9Y6Y9/P08254/P63098	HSPA4/HSP90AA1/CD14/LBP/HSP90B1/HSP90AB1/NCF1/ICAM1/VCAM1/CAMK2G/LY96/MMP3/PPP3R1		13
CRKP_vs_Con		PI3K-Akt signaling pathway	18/169	55/853	0.3272727272727273	1.651855836471221	0.01359830002871732	0.192642583740162	P10451/P11047/Q99941/P05019/P08514/P17301/P07900/P04275/P02452/P14625/P05106/P08238/P35442/P10721/P78509/P24821/Q04917/P05556	SPP1/LAMC1/ATF6B/IGF1/ITGA2B/ITGA2/HSP90AA1/VWF/COL1A1/HSP90B1/ITGB3/HSP90AB1/THBS2/KIT/RELN/TNC/YWHAH/ITGB1		18
CRKP_vs_Con		Arrhythmogenic right ventricular cardiomyopathy	7/169	15/853	0.4666666666666667	2.355424063116371	0.0162915216386363	0.1935427193613257	Q02487/P08514/P02545/P17301/P19022/P05106/P05556	DSC2/ITGA2B/LMNA/ITGA2/CDH2/ITGB3/ITGB1		7
CRKP_vs_Con		Epstein-Barr virus infection	7/169	15/853	0.4666666666666667	2.355424063116371	0.0162915216386363	0.1935427193613257	P27797/O00231/P61769/P20023/P05362/P10321/Q15008	CALR/PSMD11/B2M/CR2/ICAM1/HLA-C/PSMD6		7
CRKP_vs_Con		TGF-beta signaling pathway	7/169	15/853	0.4666666666666667	2.355424063116371	0.0162915216386363	0.1935427193613257	P01137/P02787/P07585/P63208/Q06828/P35555/Q14766	TGFB1/TF/DCN/SKP1/FMOD/FBN1/LTBP1		7
