Source Name	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Organism part]	Term Source REF	Term Accession Number	Characteristics[Variant]	Term Source REF	Term Accession Number	Characteristics[Sample type]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[Bacterial type]	Term Source REF	Term Accession Number
KP15	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	KP15	CSKP		
CRKP1	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP1	CRKP		
CRKP2	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP2	CRKP		
CRKP3	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP3	CRKP		
CRKP4	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP4	CRKP		
CRKP5	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP5	CRKP		
CRKP6	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP6	CRKP		
CRKP7	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP7	CRKP		
CRKP8	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP8	CRKP		
CRKP9	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP9	CRKP		
CRKP10	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP10	CRKP		
CRKP11	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP11	CRKP		
CRKP12	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP12	CRKP		
CRKP13	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP13	CRKP		
CRKP14	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP14	CRKP		
CRKP15	Homo sapiens	NCBITaxon	http://purl.obolibrary.org/obo/NCBITaxon_9606	blood serum	BTO	http://purl.obolibrary.org/obo/BTO_0000133				experimental blank			Sample collection	CRKP15	CRKP		
