Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Guard column]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
CRKP5	Extraction	MeOH/H2O(80:20,V:V)		Con11	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con11		Data transformation	CRKP5	FILES/DERIVED_FILES/Con11_P.mzML	Metabolite identification	CRKP5	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP6	Extraction	MeOH/H2O(80:20,V:V)		Con12	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con12		Data transformation	CRKP6	FILES/DERIVED_FILES/Con12_P.mzML	Metabolite identification	CRKP6	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP7	Extraction	MeOH/H2O(80:20,V:V)		Con13	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con13		Data transformation	CRKP7	FILES/DERIVED_FILES/Con13_P.mzML	Metabolite identification	CRKP7	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP8	Extraction	MeOH/H2O(80:20,V:V)		Con14	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con14		Data transformation	CRKP8	FILES/DERIVED_FILES/Con14_P.mzML	Metabolite identification	CRKP8	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
CRKP9	Extraction	MeOH/H2O(80:20,V:V)		Con15	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				Con15		Data transformation	CRKP9	FILES/DERIVED_FILES/Con15_P.mzML	Metabolite identification	CRKP9	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con1	Extraction	MeOH/H2O(80:20,V:V)		KP1	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP1		Data transformation	Con1	FILES/DERIVED_FILES/KP1_P.mzML	Metabolite identification	Con1	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con10	Extraction	MeOH/H2O(80:20,V:V)		KP2	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP2		Data transformation	Con10	FILES/DERIVED_FILES/KP2_P.mzML	Metabolite identification	Con10	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con11	Extraction	MeOH/H2O(80:20,V:V)		KP3	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP3		Data transformation	Con11	FILES/DERIVED_FILES/KP3_P.mzML	Metabolite identification	Con11	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con12	Extraction	MeOH/H2O(80:20,V:V)		KP4	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP4		Data transformation	Con12	FILES/DERIVED_FILES/KP4_P.mzML	Metabolite identification	Con12	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con13	Extraction	MeOH/H2O(80:20,V:V)		KP5	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP5		Data transformation	Con13	FILES/DERIVED_FILES/KP5_P.mzML	Metabolite identification	Con13	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
