Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Guard column]	Parameter Value[Column type]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
Con14	Extraction	MeOH/H2O(80:20,V:V)		KP6	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP6		Data transformation	Con14	FILES/DERIVED_FILES/KP6_P.mzML	Metabolite identification	Con14	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con15	Extraction	MeOH/H2O(80:20,V:V)		KP7	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP7		Data transformation	Con15	FILES/DERIVED_FILES/KP7_P.mzML	Metabolite identification	Con15	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con2	Extraction	MeOH/H2O(80:20,V:V)		KP8	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP8		Data transformation	Con2	FILES/DERIVED_FILES/KP8_P.mzML	Metabolite identification	Con2	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con3	Extraction	MeOH/H2O(80:20,V:V)		KP9	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP9		Data transformation	Con3	FILES/DERIVED_FILES/KP9_P.mzML	Metabolite identification	Con3	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con4	Extraction	MeOH/H2O(80:20,V:V)		KP10	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP10		Data transformation	Con4	FILES/DERIVED_FILES/KP10_P.mzML	Metabolite identification	Con4	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con5	Extraction	MeOH/H2O(80:20,V:V)		KP11	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP11		Data transformation	Con5	FILES/DERIVED_FILES/KP11_P.mzML	Metabolite identification	Con5	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con6	Extraction	MeOH/H2O(80:20,V:V)		KP12	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP12		Data transformation	Con6	FILES/DERIVED_FILES/KP12_P.mzML	Metabolite identification	Con6	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con7	Extraction	MeOH/H2O(80:20,V:V)		KP13	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP13		Data transformation	Con7	FILES/DERIVED_FILES/KP13_P.mzML	Metabolite identification	Con7	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con8	Extraction	MeOH/H2O(80:20,V:V)		KP14	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP14		Data transformation	Con8	FILES/DERIVED_FILES/KP14_P.mzML	Metabolite identification	Con8	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
Con9	Extraction	MeOH/H2O(80:20,V:V)		KP15	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				KP15		Data transformation	Con9	FILES/DERIVED_FILES/KP15_P.mzML	Metabolite identification	Con9	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP1	Extraction	MeOH/H2O(80:20,V:V)		CRKP1	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP1		Data transformation	KP1	FILES/DERIVED_FILES/CRKP1_P.mzML	Metabolite identification	KP1	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP10	Extraction	MeOH/H2O(80:20,V:V)		CRKP2	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP2		Data transformation	KP10	FILES/DERIVED_FILES/CRKP2_P.mzML	Metabolite identification	KP10	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP11	Extraction	MeOH/H2O(80:20,V:V)		CRKP3	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP3		Data transformation	KP11	FILES/DERIVED_FILES/CRKP3_P.mzML	Metabolite identification	KP11	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP12	Extraction	MeOH/H2O(80:20,V:V)		CRKP4	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP4		Data transformation	KP12	FILES/DERIVED_FILES/CRKP4_P.mzML	Metabolite identification	KP12	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP13	Extraction	MeOH/H2O(80:20,V:V)		CRKP5	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP5		Data transformation	KP13	FILES/DERIVED_FILES/CRKP5_P.mzML	Metabolite identification	KP13	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP14	Extraction	MeOH/H2O(80:20,V:V)		CRKP6	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP6		Data transformation	KP14	FILES/DERIVED_FILES/CRKP6_P.mzML	Metabolite identification	KP14	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP15	Extraction	MeOH/H2O(80:20,V:V)		CRKP7	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP7		Data transformation	KP15	FILES/DERIVED_FILES/CRKP7_P.mzML	Metabolite identification	KP15	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP2	Extraction	MeOH/H2O(80:20,V:V)		CRKP8	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP8		Data transformation	KP2	FILES/DERIVED_FILES/CRKP8_P.mzML	Metabolite identification	KP2	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP3	Extraction	MeOH/H2O(80:20,V:V)		CRKP9	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP9		Data transformation	KP3	FILES/DERIVED_FILES/CRKP9_P.mzML	Metabolite identification	KP3	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP4	Extraction	MeOH/H2O(80:20,V:V)		CRKP10	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP10		Data transformation	KP4	FILES/DERIVED_FILES/CRKP10_P.mzML	Metabolite identification	KP4	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP5	Extraction	MeOH/H2O(80:20,V:V)		CRKP11	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP11		Data transformation	KP5	FILES/DERIVED_FILES/CRKP11_P.mzML	Metabolite identification	KP5	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP6	Extraction	MeOH/H2O(80:20,V:V)		CRKP12	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP12		Data transformation	KP6	FILES/DERIVED_FILES/CRKP12_P.mzML	Metabolite identification	KP6	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP7	Extraction	MeOH/H2O(80:20,V:V)		CRKP13	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP13		Data transformation	KP7	FILES/DERIVED_FILES/CRKP13_P.mzML	Metabolite identification	KP7	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP8	Extraction	MeOH/H2O(80:20,V:V)		CRKP14	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP14		Data transformation	KP8	FILES/DERIVED_FILES/CRKP14_P.mzML	Metabolite identification	KP8	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
KP9	Extraction	MeOH/H2O(80:20,V:V)		CRKP15	Chromatography	SCIEX ExionLC AD	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_002206	Waters ACQUITY I-Class Sample Manager-FTN	Waters ACQUITY I-Class Sample Manager-FTN	ACQUITY UPLC HSS T3 (1.8 µm, 2.1 mm x 100 mm; Waters)	reverse phase	ACQUITY UPLC HSS T3 VanGuard Pre-column (1.8 µm, 2.1 mm x 5 mm; Waters)				Mass spectrometry	positive	100-1000	AB SCIEX QTRAP 5500	MTBLS	http://www.ebi.ac.uk/metabolights/ontology/MTBLS_000598	electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073				CRKP15		Data transformation	KP9	FILES/DERIVED_FILES/CRKP15_P.mzML	Metabolite identification	KP9	m_MTBLS14016_LC-MS_positive__metabolite_profiling_v2_maf.tsv
